publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2025-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,165,observed,165,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R58C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,01 Homicide,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,2.2,observed,2.2,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R23C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,01 Homicide,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,28552,observed,28552,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R59C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,02 Assault,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,377.3,observed,377.3,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R24C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,02 Assault,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,2764,observed,2764,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R60C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,36.5,observed,36.5,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R25C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,12013,observed,12013,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R61C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_04_HARM_OR_ENDANGER_PERSONS,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,158.8,observed,158.8,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R26C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,04 Harm or endanger persons,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,773,observed,773,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R62C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_05_ROBBERY_BLACKMAIL_AND_EXTORTION,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,10.2,observed,10.2,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R27C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,"05 Robbery, blackmail, and extortion",Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,2683,observed,2683,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R63C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,06 Burglary,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_06_BURGLARY,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,35.5,observed,35.5,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R28C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,06 Burglary,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,10690,observed,10690,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R64C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,07 Theft,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_07_THEFT,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,141.3,observed,141.3,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R29C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,07 Theft,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,3065,observed,3065,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R65C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_08_FRAUD_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,40.5,observed,40.5,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R30C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,08 Fraud and related offences,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,COUNT,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-count,person,10573,observed,10573,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R66C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,09 Drug offences,Principal offence (ANZSOC 2023)(c),2024–25,Number of defendants finalised,"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2025-06-30,CHAR_09_DRUG_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2025-06-30,RATE,NSW,ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,defendant-rate,per-100000-persons-aged-10-plus,139.7,observed,139.7,sha256:f0411a3531d5c74ef68f24c6a9a57edfc24fdbf5d95faab0a8c73690f57bc8de,Table 70,R31C16,sha256:810377b4f4a840c9a20d209ad1c8ef74b3ec987cabf9cd6a0836ae0238ef1117,criminal-courts-australia,sha256:1c953e08f42d54b6cc48f998bd0702109d9520e8ce49ad9d5fe29d8fd0ce12ef,tidy.table-family-acceptance/v2,sha256:d21ee204f878534fc12568670f6c7bff5503f592addff5c258e0162ef33a7ab1,sha256:839ef2ecde36e83e7eadeb8d942157614aec3d80d2d5523b42bb6ea17f7ce287,sha256:288cc792e68f4569fbc073ff26096ed44968ed001ac7e155aa5f6058d0f6b341,human-authored/deterministic-map-v1,replay:sha256:216d4909c5d24105b02243eba29a7047b37a92f7fe32b92b26b0897b2eb8f03e,09 Drug offences,Principal offence (ANZSOC 2023)(c),2024–25,Rate of defendants finalised(b),"Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 70 Defendants finalised (excluding transfers and organisations), Summary characteristics – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
